birdlife_sci_name,drumming,low_freq_range_sp,high_freq_range_sp,English_name,order_name,family_name,short_or_continuous_song,Ht_temporal_entropy,Hf_spectral_entropy,number_of_freq_peaks,peak_freq,ACTfract_mean_proportion_of_points_above_6dB_threshold,spectral_bandwidth_90,ugof_isochronous,npvi_ioi,num_syllables_per_unit_time,num_syllables,duration_song,syllable_duration_median,ioi_duration_median,count,number_of_freq_peaks_std,number_of_freq_peaks_cqv,peak_freq_std,peak_freq_cqv,syllable_duration_median_std,syllable_duration_median_cqv,ioi_duration_median_std,ioi_duration_median_cqv,npvi_ioi_std,npvi_ioi_cqv
Pica pica,no,1000,12000,Eurasian Magpie,PASSERIFORMES,CORVIDAE,short,0.8642,0.5351,29.6,2614.7711,0.1913,1412.5781,0.3257,12.6466,6,6,0.6,0.0546,0.0981,5,5.1284,11.4754,317.2463,11.4969,0.0102,7.4904,0.017,7.7489,16.3072,100
Prunella modularis,no,1000,12000,Dunnock,PASSERIFORMES,PRUNELLIDAE,long,0.8404,0.6218,14.5,5268.5684,0.2857,1923.6328,0.505,14.7228,8.6667,27.1667,3.1667,0.0519,0.1144,6,1.7607,5.0847,163.967,1.1375,9e-04,1.0565,0.0036,1.591,2.1037,6.0252
Prunella collaris,no,1000,12000,Alpine Accentor,PASSERIFORMES,PRUNELLIDAE,"",0.8391,0.6133,11.6667,3581.112,0.3241,1650.8789,0.4993,22.7603,6.7976,36.6667,5.3333,0.0505,0.1231,3,2.0817,8.6957,145.8837,1.9444,4e-04,0.3581,0.0127,5.1544,1.6031,3.4943
Melanocorypha calandra,no,1000,12000,Calandra Lark,PASSERIFORMES,ALAUDIDAE,"",0.8596,0.6431,11,3667.5781,0.3102,2024.1211,0.4903,21.8141,7.5882,258,34,0.0501,0.1176,1,0,0,0,0,0,0,0,0,0,0
Calandrella brachydactyla,no,1000,12000,Greater Short-toed Lark,PASSERIFORMES,ALAUDIDAE,"",0.8411,0.6004,18.75,4070.4507,0.2866,1749.5728,0.555,15.3454,9.25,11.875,1.375,0.0515,0.1207,8,3.9188,14.1026,223.5242,2.3705,0.0065,5.0708,0.0201,14.9773,5.1231,9.1401
Loxia curvirostra,no,1000,12000,Red Crossbill,PASSERIFORMES,FRINGILLIDAE,"",0.6838,0.5492,33.6,4276.7277,0.3403,1942.2949,0.0816,2.3773,2.6,2.6,0.2,0.0542,0.173,10,4.0056,6.3197,383.4829,3.2426,0.0022,0.0081,0.0178,4.7259,5.8395,0
Motacilla cinerea,no,1000,12000,Grey Wagtail,PASSERIFORMES,MOTACILLIDAE,short,0.7849,0.5946,12.6,6147.2164,0.2796,1998.2812,0.5498,12.5998,6.15,12,1.6,0.052,0.1228,5,2.881,15.3846,444.3933,1.9362,0.0043,4.1057,0.0195,10.5055,9.8148,15.929
Motacilla alba,no,1000,12000,White Wagtail,PASSERIFORMES,MOTACILLIDAE,short,0.811,0.6071,17.875,4464.9482,0.2532,1873.3887,0.0657,2.4201,2.5,17.5,2,0.0596,0.0926,8,3.4821,13.6691,265.4642,1.915,0.0259,19.929,0.0246,15.7472,6.845,0
Motacilla flava,no,1000,12000,Western Yellow Wagtail,PASSERIFORMES,MOTACILLIDAE,short,0.7696,0.613,21.5556,4897.1558,0.2631,1985.8398,0.354,23.5267,3.7222,4.2222,0.7778,0.0559,0.1335,9,4.5583,16.2791,405.5722,2.067,0.0037,1.9428,0.0389,4.7047,19.2129,100
Pyrrhula pyrrhula,no,1000,12000,Eurasian Bullfinch,PASSERIFORMES,FRINGILLIDAE,short,0.7754,0.517,17,2046.0547,0.2599,1119.7266,0.5102,22.509,6.3077,164,26,0.0515,0.1437,1,0,0,0,0,0,0,0,0,0,0
Emberiza schoeniclus,no,1000,12000,Common Reed Bunting,PASSERIFORMES,EMBERIZIDAE,short,0.8312,0.5789,22.75,3699.1279,0.3146,1593.457,0.5261,7.5882,4.875,9.75,2,0.062,0.2012,4,3.0957,7.2626,18.6487,0.3653,0.0045,3.8336,0.0057,1.3005,0.8124,3.4657
Emberiza cia,no,1000,12000,Rock Bunting,PASSERIFORMES,EMBERIZIDAE,short,0.7399,0.6334,30,4847.7266,0.3028,2598.3398,0.4422,21.7965,7.6111,20,2.6667,0.0493,0.134,3,2.6458,4.2017,518.4642,5.2347,0.0025,2.188,0.0065,2.4378,4.532,9.9372
Emberiza hortulana,no,1000,12000,Ortolan Bunting,PASSERIFORMES,EMBERIZIDAE,medium,0.836,0.4579,22.2727,3694.8082,0.2872,1284.1619,0.4981,23.7646,6.6364,11.1818,1.7273,0.0573,0.1205,11,4.361,8.6957,604.0291,9.9542,0.0087,9.7201,0.0195,11.7089,4.2304,8.1233
Emberiza calandra,no,1000,12000,Corn Bunting,PASSERIFORMES,EMBERIZIDAE,long,0.8415,0.6504,20.5,5221.4688,0.3454,2562.4512,0.5205,19.8289,9.125,25,2.75,0.0434,0.1081,4,3.7859,8.2353,130.1505,1.851,0.0054,9.4681,0.0212,15.4384,4.178,15.7337
Nucifraga caryocatactes,no,1000,12000,Spotted Nutcracker,PASSERIFORMES,CORVIDAE,"",0.8905,0.5751,18,2111.9375,0.3164,1238.1592,0.5512,34.0984,4.5,10.25,2.25,0.1065,0.219,4,0.8165,1.3889,6.4485,0.2071,0.0555,24.6465,0.1361,24.6675,3.1342,5.1659
Carduelis carduelis,no,1000,12000,European Goldfinch,PASSERIFORMES,FRINGILLIDAE,short,0.8056,0.6344,27.8889,3413.75,0.2729,2277.7344,0.4829,14.2592,6.4057,26.7778,3.4444,0.0506,0.1132,9,5.1828,5.4545,528.5444,12.7028,0.005,5.0367,0.0228,8.6088,6.9687,18.3745
Pyrrhocorax graculus,no,1000,12000,Alpine Chough,PASSERIFORMES,CORVIDAE,"",0.7909,0.5244,28.5333,3045.0307,0.247,1406.8359,0.2848,15.1902,2.6667,2.6667,0.6667,0.0614,0.1605,15,4.47,11.3043,294.3783,4.1049,0.015,17.5492,0.1633,19.7607,19.7336,100
Corvus monedula,no,1000,12000,Western Jackdaw,PASSERIFORMES,CORVIDAE,short,0.7831,0.5026,31.1111,1894.4184,0.1969,1665.2344,0.2074,6.2691,4,4,0.4444,0.0543,0.1228,9,2.8916,6.25,366.2397,16.5452,0.0029,1.3324,0.0332,12.5488,8.9446,100
Cinclus cinclus,no,1000,12000,White-throated Dipper,PASSERIFORMES,CINCLIDAE,short,0.7534,0.6362,22,3988.8428,0.3243,2573.2178,0.5443,24.3861,5.0496,34.75,6.75,0.0553,0.1945,4,6.1644,10.3448,1122.1925,11.6385,0.0052,3.5181,0.0167,2.6019,2.7787,7.165
Cisticola juncidis,no,1000,12000,Zitting Cisticola,PASSERIFORMES,CISTICOLIDAE,long,0.6902,0.6065,14,7193.0234,0.1964,1937.9883,0.554,25.9885,4.0714,57,14,0.0537,0.2061,1,0,0,0,0,0,0,0,0,0,0
Galerida cristata,no,1000,12000,Crested Lark,PASSERIFORMES,ALAUDIDAE,short,0.809,0.5692,19.25,4049.6924,0.3081,1259.6924,0.4732,26.9897,5.725,55.75,9.75,0.0537,0.1468,4,6.0208,14.4654,96.7478,1.4918,0.0059,3.9723,0.0178,3.8075,4.4848,9.5433
Corvus frugilegus,no,1000,12000,Rook,PASSERIFORMES,CORVIDAE,short,0.8997,0.5325,26.8,1398.2852,0.1721,1455.6445,0.4008,16.1009,6.3,9.2,1,0.0588,0.1058,5,4.3818,14.8148,204.2406,12.0514,0.0253,2.9388,0.0305,5.3333,12.2628,62.4416
Clamator glandarius,no,1000,12000,Great Spotted Cuckoo,CUCULIFORMES,CUCULIDAE,short,0.8574,0.5823,34.3636,2759.0018,0.1578,2525.2575,0.317,9.1595,5.1515,10.7273,1.2727,0.066,0.1056,11,4.9854,10.1449,1028.0399,39.9277,0.0384,11.6455,0.0258,16.1287,9.6081,100
Pyrrhocorax pyrrhocorax,no,1000,12000,Red-billed Chough,PASSERIFORMES,CORVIDAE,"",0.8855,0.6011,29.8571,2329.5195,0.2232,2036.4258,0.4312,24.7236,3.3265,8.7143,1,0.0625,0.135,7,5.3363,10.9244,271.8769,9.1375,0.0221,7.0709,0.0487,11.5157,21.0957,55.4132
Caprimulgus europaeus,no,1000,12000,European Nightjar,CAPRIMULGIFORMES,CAPRIMULGIDAE,"",0.9102,0.5067,11,2115.1875,0.18,1033.5938,0.525,19.3758,9.8235,167,17,0.0464,0.0958,1,0,0,0,0,0,0,0,0,0,0
Sturnus vulgaris,no,1000,12000,Common Starling,PASSERIFORMES,STURNIDAE,short,0.8134,0.6325,28,3778.8501,0.2679,2987.2425,0.4958,25.7536,6.771,39.0909,5.5455,0.0533,0.1311,11,4.8785,8.9286,1437.0155,29.263,0.0082,11.8638,0.0277,13.057,6.8494,16.3542
Sturnus unicolor,no,1000,12000,Spotless Starling,PASSERIFORMES,STURNIDAE,"",0.7884,0.5218,31.5625,3449.9961,0.2712,1431.958,0.4122,15.2972,5.6042,12.5625,1.6875,0.0534,0.1326,16,2.9205,5.0193,634.0092,3.9004,0.0077,6.1486,0.0308,8,9.9819,45.7606
Curruca curruca,no,1000,12000,Lesser Whitethroat,PASSERIFORMES,SYLVIIDAE,medium,0.8015,0.6128,23.6,4001.8961,0.3002,1714.043,0.4611,14.051,9.4667,24.4,2.6,0.0441,0.0872,5,3.6469,12.5,458.9088,8.674,0.0036,8.1893,0.0126,12.757,4.1196,7.8093
Sylvia borin,no,1000,12000,Garden Warbler,PASSERIFORMES,SYLVIIDAE,long,0.8266,0.6104,25.5,3128.2646,0.3085,2056.4209,0.5327,16.7981,7.5812,41.75,5.5,0.0533,0.1288,4,3.873,6,246.8952,2.3108,0.003,4.4425,0.0121,6.9006,5.7154,17.43
Curruca hortensis,no,1000,12000,Western Orphean Warbler,PASSERIFORMES,SYLVIIDAE,short,0.8524,0.494,21,2577.518,0.2538,981.9141,0.4751,17.8494,6.6,13.2,2,0.055,0.1263,5,3.7417,10,86.7227,0.9209,0.0079,8.1106,0.0204,13.145,6.7586,18.9786
Curruca cantillans,no,1000,12000,Eastern Subalpine Warbler,PASSERIFORMES,SYLVIIDAE,long,0.8135,0.6567,27,3865.0969,0.3154,2222.2266,0.4835,15.3794,9.0667,29.2,3.2,0.0453,0.101,5,4,7.4074,792.829,11.9545,0.0031,3.9965,0.0055,1.4121,2.6569,4.4851
Curruca undata,no,1000,12000,Dartford Warbler,PASSERIFORMES,SYLVIIDAE,short,0.8661,0.5984,22,4015.6426,0.2585,1614.9902,0.5337,14.4192,9.5417,21,2.25,0.0463,0.098,4,2.1602,4.5977,49.4912,0.7924,0.0029,4.106,0.0028,1.6647,1.2766,5.9497
Curruca melanocephala,no,1000,12000,Sardinian Warbler,PASSERIFORMES,SYLVIIDAE,long,0.7913,0.5263,25.75,4407.2236,0.2641,1205.8594,0.4602,16.0784,12.25,17.5,1.5,0.039,0.09,4,4.9244,15.942,108.936,1.57,0.0021,3.4722,0.0148,9.0535,3.6624,18.7975
Curruca conspicillata,no,1000,12000,Spectacled Warbler,PASSERIFORMES,SYLVIIDAE,"",0.8657,0.6187,26.8,3803.8039,0.2619,1963.8281,0.5205,16.8425,8.6,18.6,2.2,0.0537,0.116,5,3.1145,9.434,283.1753,0.6563,0.0087,12.1613,0.0187,8.9123,2.2055,10.4956
Muscicapa striata,no,1000,12000,Spotted Flycatcher,PASSERIFORMES,MUSCICAPIDAE,short,0.7114,0.6927,33,7020.7578,0.1992,3732.4219,0.5235,22.1088,5.4048,48,8.6667,0.0513,0.1654,3,6.0828,8.1481,649.7969,4.4673,8e-04,0.711,0.048,13.6369,5.9895,13.5378
Ficedula albicollis,no,1000,12000,Collared Flycatcher,PASSERIFORMES,MUSCICAPIDAE,"",0.7085,0.567,27,3518.6123,0.3,2045.6543,0.4729,26.3594,5.25,20.75,4,0.0532,0.1774,4,1.4142,2.7523,314.7015,4.2838,0.0031,2.5295,0.056,12.3381,4.4034,7.9044
Luscinia svecica,no,1000,12000,Bluethroat,PASSERIFORMES,MUSCICAPIDAE,"",0.796,0.553,25,4021.3926,0.288,1690.3564,0.5121,22.1732,7.0491,53.75,7.75,0.0533,0.1576,4,5.3541,15.8416,490.4626,4.9403,0.0025,2.3896,0.044,9.5426,7.4327,15.7731
Corvus corax,no,1000,12000,Northern Raven,PASSERIFORMES,CORVIDAE,short,0.7891,0.4849,34,1327.9807,0.2065,1597.9122,0.1791,8.8103,2.3793,2.7586,0.4483,0.0832,0.1749,29,3.7512,4.3478,249.4154,5.903,0.0284,21.5017,0.0832,31.4927,15.1225,100
Certhia familiaris,no,1000,12000,Eurasian Treecreeper,PASSERIFORMES,CERTHIIDAE,short,0.8332,0.6148,28.6667,6411.8281,0.2223,2612.6953,0.499,16.5162,7.2222,21.6667,3,0.051,0.1205,3,5.1316,8.6207,823.1271,5.4678,0.0011,1.0642,0.0029,1.2058,2.1361,6.3632
Turdus pilaris,no,1000,12000,Fieldfare,PASSERIFORMES,TURDIDAE,short,0.7603,0.6945,29,3929.7766,0.3073,2988.8086,0.5359,18.0095,6.7467,22.2,3.2,0.0536,0.138,5,6.2849,8.7719,897.246,5.1066,0.0015,1.3734,0.0092,4.0021,2.2556,9.1004
Turdus iliacus,no,1000,12000,Redwing,PASSERIFORMES,TURDIDAE,"",0.7465,0.6289,31,5036.7031,0.2458,3273.0469,0.4928,25.1503,6.4935,60,9,0.0486,0.1422,2,2.8284,3.2258,2681.2384,18.8211,0.0031,2.2419,0.0144,3.5719,6.0732,8.5375
Turdus philomelos,no,1000,12000,Song Thrush,PASSERIFORMES,TURDIDAE,long,0.7777,0.4895,24.2308,3025.3717,0.2821,1136.2906,0.445,23.5669,5.9423,9.4615,1.8462,0.0651,0.199,13,3.7003,10.6383,616.5396,8.7837,0.0187,15.3826,0.094,20.1601,15.4665,44.1575
Coccothraustes coccothraustes,no,1000,12000,Hawfinch,PASSERIFORMES,FRINGILLIDAE,short,0.5343,0.3069,33.4,5218.3687,0.2445,249.7852,0.1533,9.4068,2.4,2.4,0,0.0576,0.1798,5,0.8944,1.4925,58.2967,0.1726,0.0019,0.6364,0.0364,8.1784,12.6611,100
Merops apiaster,no,1000,12000,European Bee-eater,CORACIIFORMES,MEROPIDAE,short,0.7582,0.4356,26.375,1943.3135,0.2535,576.0132,0.5323,14.6991,5.3229,19.75,3.375,0.0558,0.1653,8,3.7009,8.9202,174.2441,3.384,0.0051,6.0783,0.019,8.8833,7.0021,22.692
Hirundo rustica,no,1000,12000,Barn Swallow,PASSERIFORMES,HIRUNDINIDAE,short,0.8471,0.6597,14.6667,4209.0859,0.3104,2311.2305,0.4952,26.6433,7,49,7,0.0493,0.1263,3,3.2146,10,459.502,5.1284,0.0015,1.4719,0.0081,3.1501,2.6592,4.7837
Delichon urbicum,no,1000,12000,Common House Martin,PASSERIFORMES,HIRUNDINIDAE,short,0.808,0.6602,17.5,4030.6426,0.2953,2196.3867,0.534,17.4584,7.8,70,9,0.0501,0.1212,2,0.7071,1.4286,1184.8209,10.3928,0.001,0.7215,0.0113,3.2926,3.8796,7.8567
Riparia riparia,no,1000,12000,Sand Martin,PASSERIFORMES,HIRUNDINIDAE,short,0.85,0.6605,17,4418.0846,0.2743,2167.6758,0.48,20.3111,7,38.6667,5.6667,0.0568,0.135,3,7,20.5882,508.1081,5.2825,0.0095,8.0899,0.0293,10.0005,5.8678,14.1823
Ptyonoprogne rupestris,no,1000,12000,Eurasian Crag Martin,PASSERIFORMES,HIRUNDINIDAE,short,0.7916,0.5658,33.1304,3444.1591,0.1726,1664.6102,0.1217,5.0529,1.9565,2.5652,0.3043,0.0602,0.1525,23,6.3483,8.8235,681.4609,11.1111,0.0229,11.9431,0.0582,13.8455,10.3899,100
Cecropis daurica,no,1000,12000,Red-rumped Swallow,PASSERIFORMES,HIRUNDINIDAE,"",0.8225,0.5796,27.75,3681.6279,0.2925,1744.1895,0.5081,22.8938,8,12.5,1.75,0.0608,0.1486,4,3.4034,4.8889,689.0871,15.9936,0.0017,1.6509,0.0106,4.4982,4.1113,5.6731
Upupa epops,no,100,1000,Eurasian Hoopoe,BUCEROTIFORMES,UPUPIDAE,short,0.7655,0.1374,2.2857,577.673,0.3211,73.8281,0.3685,3.6842,2.8571,2.8571,0.8571,0.0647,0.2179,7,0.488,11.1111,14.7193,1.2207,0.002,1.7012,0.0046,1.0791,1.708,12.209
Hippolais icterina,no,1000,12000,Icterine Warbler,PASSERIFORMES,ACROCEPHALIDAE,long,0.8422,0.7301,37.25,4216.958,0.3273,4231.2744,0.5037,19.0543,6.4571,92.75,13.75,0.0513,0.148,4,2.0616,1.6835,1934.5133,22.5041,0.0011,1.5787,0.0186,6.2341,3.662,13.6311
Hippolais polyglotta,no,1000,12000,Melodious Warbler,PASSERIFORMES,ACROCEPHALIDAE,short,0.7893,0.599,30.0833,3775.333,0.2748,2052.832,0.5374,17.2269,7.0916,26,3.25,0.0519,0.1304,12,5.7912,14.2857,522.593,3.6111,0.0152,8.8159,0.0547,17.6577,5.9088,12.0633
Linaria cannabina,no,1000,12000,Common Linnet,PASSERIFORMES,FRINGILLIDAE,short,0.8819,0.6899,32,3208.9141,0.2791,2799.3164,0.5106,18.5962,7,98,14,0.0551,0.1335,1,0,0,0,0,0,0,0,0,0,0
Locustella luscinioides,no,1000,12000,Savi's Warbler,PASSERIFORMES,LOCUSTELLIDAE,"",0.8401,0.6077,23.3333,4008.1094,0.2187,2454.7852,0.5153,18.0452,9.409,99,10.3333,0.045,0.0943,3,5.1316,10.8696,46.2491,0.5626,0.0015,1.6115,0.0015,0.7686,4.8306,12.7963
Locustella naevia,no,1000,12000,Common Grasshopper Warbler,PASSERIFORMES,LOCUSTELLIDAE,continuous,0.9076,0.5023,11,5971.1641,0.2528,1248.9258,0.4927,19.7127,9.6,96,,0.0493,0.1016,1,0,0,0,0,0,0,0,0,0,0
Alcedo atthis,no,1000,12000,Common Kingfisher,CORACIIFORMES,ALCEDINIDAE,short,0.8168,0.4925,32.1111,5417.3898,0.2031,2928.5156,0.287,16.3798,3.1111,3.1111,0.4444,0.061,0.1783,9,3.6553,4.7619,306.6903,2.5716,0.0117,14.6387,0.0674,16.3801,21.5718,100
